NEEM - LARVAS III ESTADIO;;;;NEEM - LARVAS IV ESTADIO;;;;;;ACHIOTE - LARVAS III ESTADIO;;;;ACHIOTE - LARVAS IV ESTADIO;;;;;;;
DIAS;CONCENTRACIONES;MORTALIDAD;;DIAS;CONCENTRACIONES;MORTALIDAD;;;;DIAS;CONCENTRACIONES;MORTALIDAD;;DIAS;CONCENTRACIONES;MORTALIDAD;;;;;
18;400;100;;18;400;90;;;;18;400;100;;18;400;90;;;;;
18;400;100;;18;400;90;;;;18;400;100;;18;400;90;;;;;
21;0;0;;21;0;0;;;;21;0;0;;21;0;0;;;;;
21;0;0;;21;0;0;;;;21;0;0;;21;0;0;;;;;
21;0;0;;21;0;0;;;;21;0;0;;21;0;0;;;;;
21;50;85;;21;50;70;;;;21;50;85;;21;50;85;;;;;
21;50;80;;21;50;85;;;;21;50;85;;21;50;90;;;;;
21;50;85;;21;50;75;;;;21;50;90;;21;50;75;;;;;
21;100;80;;21;100;75;;;;21;100;95;;21;100;85;;;;;
21;100;90;;21;100;80;;;;21;100;85;;21;100;85;;;;;
21;100;90;;21;100;90;;;;21;100;95;;21;100;75;;;;;
21;200;90;;21;200;80;;;;21;200;95;;21;200;90;;;;;
21;200;85;;21;200;85;;;;21;200;90;;21;200;85;;;;;
21;200;95;;21;200;85;;;;21;200;100;;21;200;90;;;;;
21;400;100;;21;400;95;;;;21;400;100;;21;400;90;;;;;
21;400;100;;21;400;90;;;;21;400;100;;21;400;95;;;;;
21;400;100;;21;400;90;;;;21;400;100;;21;400;90;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
